EmployeeID,Age,Gender,Department,JobRole,MonthlyIncome,YearsAtCompany,WorkLifeBalance,JobSatisfaction,OverTime,PerformanceRating,Feedback,Attrition
16,,Female,IT,Technician,,13,1,,No,2,Great team and supportive manager,0
10,39.0,Male,Operations,Engineer,8925.0,13,2,4.0,No,2,Workload is too high and stressful,0
101,23.0,Male,Sales,Technician,4096.0,8,1,2.0,No,1,Need more career growth opportunities,0
133,26.0,Female,HR,Analyst,5668.0,14,2,4.0,No,1,Lack of recognition for hard work,0
69,37.0,Male,Sales,Analyst,5719.0,9,1,1.0,No,2,I am happy with my work environment,0
96,,Female,Finance,Engineer,,17,2,,No,2,Lack of recognition for hard work,0
160,40.0,Male,Finance,Engineer,4667.0,18,2,2.0,No,5,Workload is too high and stressful,0
163,44.0,Female,Finance,Technician,5095.0,14,2,1.0,No,4,Need more career growth opportunities,0
148,24.0,Male,Sales,Engineer,7198.0,18,1,4.0,No,1,Lack of recognition for hard work,0
183,26.0,Male,Finance,Analyst,6033.0,14,4,2.0,No,4,Salary is not competitive,1
192,41.0,Female,Sales,Executive,4854.0,11,2,1.0,No,4,Salary is not competitive,0
165,42.0,Male,HR,Manager,6833.0,12,1,1.0,No,2,Flexible work hours are appreciated,0
66,45.0,Female,Sales,Manager,5768.0,13,2,4.0,No,2,Need more career growth opportunities,0
176,41.0,Female,Finance,Executive,5935.0,14,4,4.0,No,4,Flexible work hours are appreciated,0
74,47.0,Female,Operations,Analyst,4362.0,17,3,4.0,No,4,I am happy with my work environment,0
153,29.0,Female,Operations,Engineer,8644.0,12,4,2.0,Yes,1,Need more career growth opportunities,0
19,27.0,Male,Operations,Manager,6146.0,11,3,4.0,No,5,I am happy with my work environment,1
83,46.0,Male,Operations,Executive,9761.0,5,1,4.0,Yes,1,Need more career growth opportunities,0
87,42.0,Female,HR,Engineer,6995.0,6,2,1.0,No,2,Flexible work hours are appreciated,0
144,36.0,Female,Sales,Executive,4505.0,15,2,2.0,No,1,Need more career growth opportunities,0
61,31.0,Female,IT,Manager,1566.0,15,4,3.0,Yes,4,Great team and supportive manager,1
102,31.0,Male,Operations,Technician,6952.0,17,3,1.0,Yes,2,Salary is not competitive,0
99,35.0,Male,HR,Analyst,3686.0,16,4,4.0,Yes,4,Need more career growth opportunities,1
31,,Female,IT,Manager,,10,2,,Yes,3,Flexible work hours are appreciated,1
26,35.0,Female,Finance,Manager,7975.0,2,3,1.0,No,4,Need more career growth opportunities,0
17,26.0,Male,Sales,Engineer,4679.0,2,1,1.0,No,4,I am happy with my work environment,0
169,33.0,Male,Operations,Manager,8857.0,10,3,4.0,No,2,Great team and supportive manager,0
196,38.0,Male,Operations,Technician,6877.0,11,4,1.0,No,5,Workload is too high and stressful,0
98,37.0,Female,HR,Engineer,3595.0,12,1,3.0,No,4,Salary is not competitive,1
195,36.0,Female,Finance,Technician,4059.0,14,4,1.0,Yes,1,Salary is not competitive,0
68,43.0,Female,Finance,Engineer,6581.0,2,2,1.0,No,1,Workload is too high and stressful,0
121,41.0,Female,Finance,Analyst,6260.0,9,3,3.0,No,1,Great team and supportive manager,0
155,37.0,Male,Operations,Technician,4154.0,3,2,4.0,No,2,Need more career growth opportunities,0
31,,Female,IT,Manager,,10,2,,Yes,3,Flexible work hours are appreciated,1
80,19.0,Female,IT,Executive,6013.0,3,2,3.0,Yes,5,Flexible work hours are appreciated,1
70,,Male,Finance,Technician,,2,3,,Yes,5,Workload is too high and stressful,0
146,41.0,Female,Sales,Manager,1813.0,4,4,4.0,Yes,3,Need more career growth opportunities,0
56,42.0,Female,Sales,Analyst,7266.0,2,3,3.0,No,4,I am happy with my work environment,0
46,,Female,HR,Technician,,4,1,,No,2,Great team and supportive manager,1
85,65.0,Female,Operations,Technician,1140.0,12,2,3.0,No,1,Great team and supportive manager,0
147,25.0,Female,Sales,Technician,2849.0,13,3,3.0,Yes,1,Need more career growth opportunities,0
67,34.0,Female,IT,Engineer,4980.0,11,4,4.0,No,5,Workload is too high and stressful,0
112,34.0,Female,Operations,Technician,3964.0,15,1,3.0,Yes,2,Great team and supportive manager,0
154,36.0,Male,Operations,Analyst,7924.0,2,2,2.0,No,4,Salary is not competitive,0
97,37.0,Male,Sales,Analyst,6301.0,15,4,4.0,No,3,Need more career growth opportunities,1
39,24.0,Female,HR,Analyst,5868.0,13,2,2.0,No,4,Need more career growth opportunities,0
25,30.0,Male,Sales,Analyst,7995.0,6,3,3.0,No,5,Workload is too high and stressful,1
140,25.0,Female,Sales,Technician,3634.0,11,1,2.0,No,2,Flexible work hours are appreciated,0
113,35.0,Female,IT,Engineer,5924.0,10,2,3.0,Yes,1,Flexible work hours are appreciated,0
30,32.0,Female,Operations,Executive,4093.0,12,4,3.0,Yes,4,Great team and supportive manager,0
20,23.0,Female,HR,Technician,5016.0,6,4,3.0,No,2,Great team and supportive manager,0
179,32.0,Female,Finance,Analyst,2460.0,18,2,4.0,No,5,Lack of recognition for hard work,0
91,35.0,Male,IT,Manager,3233.0,5,1,1.0,No,1,Workload is too high and stressful,0
174,37.0,Female,HR,Manager,6467.0,3,1,1.0,Yes,4,Salary is not competitive,0
94,32.0,Female,IT,Executive,4092.0,17,1,2.0,No,5,Need more career growth opportunities,1
6,33.0,Male,HR,Analyst,4888.0,14,2,2.0,No,4,Flexible work hours are appreciated,0
168,50.0,Female,Sales,Analyst,4063.0,15,4,1.0,No,4,Lack of recognition for hard work,0
57,28.0,Female,Finance,Technician,2208.0,15,1,2.0,No,2,Lack of recognition for hard work,0
129,,Male,IT,Executive,,18,2,,Yes,2,Salary is not competitive,0
77,35.0,Male,Finance,Technician,4390.0,8,4,1.0,Yes,5,Flexible work hours are appreciated,0
145,37.0,Female,Finance,Manager,4327.0,17,2,4.0,No,4,I am happy with my work environment,0
105,33.0,Male,Sales,Manager,5628.0,6,4,1.0,No,2,Need more career growth opportunities,0
178,46.0,Male,HR,Executive,5092.0,4,3,2.0,No,5,Flexible work hours are appreciated,0
76,41.0,Female,IT,Analyst,7761.0,11,2,3.0,No,4,Lack of recognition for hard work,1
175,,Male,Finance,Engineer,,13,3,,No,2,Salary is not competitive,0
32,49.0,Female,Operations,Engineer,5239.0,6,1,4.0,Yes,3,Great team and supportive manager,0
13,36.0,Male,Operations,Manager,30000.0,11,2,2.0,No,3,I am happy with my work environment,0
36,25.0,Male,Operations,Engineer,4783.0,13,3,3.0,No,5,Salary is not competitive,0
